DateTime,Time,MeasurementCount,OverallJudgment,#d1,#d2,Judgment1,Judgment2,Judgment3,Judgment4,WireLength,WireWidth,TerminalWidth,WireTerminalDistance,WireAngle,InspectionArea,UnpeeledArea,#go,#auto,OutputBufferMargin
28/08/2024,23:47:58,68279123,OK,0,0,0,0,0,0,0.21706,0.0632,0.08848,0.1738,83.55859,0.00782,0,1,0,100
28/08/2024,23:47:58,68279122,OK,0,0,0,0,0,0,0.21706,0.0632,0.08848,0.1738,83.55859,0.00782,0,4,1,100
28/08/2024,23:47:58,68279121,OK,0,0,0,0,0,0,0.19695,0.06004,0.0948,0.22594,80.95703,0.008,0,1,0,100
28/08/2024,23:47:58,68279120,OK,0,0,0,0,0,0,0.19695,0.06004,0.0948,0.22594,80.95703,0.008,0,3,1,100
28/08/2024,23:47:58,68279119,OK,0,0,0,0,0,0,0.2054,0.06004,0.08848,0.17854,89.24219,0.00819,0,1,0,100
28/08/2024,23:47:58,68279118,OK,0,0,0,0,0,0,0.2054,0.06004,0.08848,0.17854,89.24219,0.00819,0,2,1,100
28/08/2024,23:47:58,68279117,OK,0,0,0,0,0,0,0.21147,0.0632,0.09164,0.21646,82.58203,0.00768,0,1,0,100
28/08/2024,23:47:58,68279116,OK,0,0,0,0,0,0,0.21147,0.0632,0.09164,0.21646,82.58203,0.00768,0,1,1,100
28/08/2024,23:47:57,68279115,OK,0,0,0,0,0,0,0.21199,0.0632,0.09164,0.16906,83.69922,0.00772,0,1,0,100
28/08/2024,23:47:57,68279114,OK,0,0,0,0,0,0,0.21199,0.0632,0.09164,0.16906,83.69922,0.00772,0,4,1,100
28/08/2024,23:47:57,68279113,OK,0,0,0,0,0,0,0.19897,0.06004,0.09796,0.24016,80.15234,0.00807,0,1,0,100
28/08/2024,23:47:57,68279112,OK,0,0,0,0,0,0,0.19897,0.06004,0.09796,0.24016,80.15234,0.00807,0,3,1,100
28/08/2024,23:47:57,68279111,OK,0,0,0,0,0,0,0.21082,0.06004,0.09164,0.18012,88.75781,0.00832,0,1,0,100
28/08/2024,23:47:57,68279110,OK,0,0,0,0,0,0,0.21082,0.06004,0.09164,0.18012,88.75781,0.00832,0,2,1,100
28/08/2024,23:47:57,68279109,OK,0,0,0,0,0,0,0.20895,0.0632,0.09164,0.2133,81.72266,0.0076,0,1,0,100
28/08/2024,23:47:57,68279108,OK,0,0,0,0,0,0,0.20895,0.0632,0.09164,0.2133,81.72266,0.0076,0,1,1,100
28/08/2024,23:47:56,68279107,OK,0,0,0,0,0,0,0.22108,0.06004,0.08848,0.1975,82.10938,0.00788,0,1,0,100
