DateTime,Time,MeasurementCount,OverallJudgment,SP_No,SP_Side,S1X,S1Y,S1L,S2X,S2Y,S2L,F1X,F1Y,F1L,F2X,F2Y,F2L,OutputBufferMargin
29/08/2024,20:26.0,8442270,OK,10,1,2.41895,1.19605,0.18723,2.43209,1.23321,0.18285,2.46463,1.25837,0.20528,2.43683,1.21798,0.21517,100
29/08/2024,20:26.0,8442269,OK,10,2,2.43484,1.18906,0.19116,2.4233,1.23678,0.18305,2.46573,1.23992,0.21553,2.45986,1.20265,0.22614,100
29/08/2024,20:26.0,8442268,OK,11,1,2.44326,1.16206,0.21563,2.42404,1.27963,0.19049,2.4492,1.19845,0.20552,2.44404,1.26908,0.22623,100
29/08/2024,20:26.0,8442267,OK,11,2,2.46463,1.16806,0.22771,2.43218,1.28942,0.19604,2.43141,1.21322,0.18497,2.44065,1.24466,0.21341,100
29/08/2024,20:26.0,8442266,OK,12,1,2.44854,1.188,0.20434,2.45576,1.21205,0.21228,2.47133,1.21275,0.21789,2.449,1.22901,0.21465,100
29/08/2024,20:26.0,8442265,OK,12,2,2.43669,1.1896,0.21108,2.44443,1.27131,0.20439,2.49722,1.23607,0.24722,2.46726,1.23394,0.25172,100
29/08/2024,20:14.0,8442264,OK,1,1,2.42678,1.18419,0.18107,2.44936,1.29495,0.19514,2.45832,1.24836,0.19408,2.41557,1.20587,0.17985,100
29/08/2024,20:14.0,8442263,OK,1,2,2.41521,1.17918,0.19186,2.44636,1.29876,0.19519,2.4629,1.30719,0.20162,2.44793,1.17877,0.23454,100
29/08/2024,20:14.0,8442262,OK,2,1,2.41934,1.15811,0.179,2.42279,1.22346,0.17121,2.46809,1.26297,0.20648,2.42779,1.23156,0.19749,100
29/08/2024,20:14.0,8442261,OK,2,2,2.43316,1.18003,0.19572,2.42649,1.28789,0.18389,2.45837,1.24471,0.2057,2.42266,1.2481,0.1951,100
29/08/2024,20:14.0,8442260,OK,3,1,2.41675,1.17496,0.17597,2.42078,1.27701,0.16691,2.43794,1.24147,0.17411,2.43305,1.24263,0.20235,100
29/08/2024,20:14.0,8442259,OK,3,2,2.41261,1.18721,0.17775,2.43966,1.26607,0.18028,2.4494,1.20018,0.18036,2.41159,1.27614,0.18723,100
29/08/2024,20:14.0,8442258,OK,4,1,2.42829,1.18147,0.18765,2.43204,1.26279,0.18038,2.43858,1.20744,0.17694,2.42582,1.2292,0.19519,100
29/08/2024,20:14.0,8442257,OK,4,2,2.42542,1.17044,0.19083,2.43117,1.26812,0.18538,2.45609,1.23897,0.20032,2.4199,1.24333,0.19534,100
